,tweet_text,pos_rev,neg_rev,neutral_or_unknown,apple_product
39,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,1,0,0,1
40,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",1,0,0,1
41,"At #SXSW, #Apple schools the marketing experts - {link}",1,0,0,1
42,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",1,0,0,1
43,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",1,0,0,1
44,ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,1,0,0,1
45,#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,1,0,0,1
46,Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,1,0,0,1
47,The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,1,0,0,1
48,I can haz #iPad2 ifrom #SxSW Gr8 {link},1,0,0,1
49,"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",1,0,0,1
50,"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",1,0,0,1
51,"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",1,0,0,1
52,Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},1,0,0,1
53,Temporary #sxsw apple store. Apple being sneaky as usual  {link},1,0,0,1
54,ÛÏ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.Û,1,0,0,1
55,Apple won #SxSW from day one. Seeing a TON of #iPad2,1,0,0,1
56,ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ @mention Did you manage to get yours?,1,0,0,1
57,ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ also known as the white jeans configuration.,1,0,0,1
58,Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,1,0,0,1
59,#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,1,0,0,1
60,The Apple #SXSW store still has iPad 2's and short lines.,1,0,0,1
61,Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,1,0,0,1
62,"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",0,1,0,1
63,Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,1,0,0,1
64,ipad2 and #sxsw...a conflagration of doofusness.  {link},0,1,0,1
65,attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,1,0,0,1
66,I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},1,0,0,1
67,"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",0,1,0,1
68,Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,1,0,0,1
69,It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,1,0,0,1
70,"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw",0,1,0,1
71,The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},1,0,0,1
72,many iPad 2's snapping away at the keynote slides! #sxsw,1,0,0,1
73,New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi,1,0,0,1
74,#SXSW day 5 at the #apple store and there's still a line...and growing {link},1,0,0,1
75,if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable,1,0,0,1
76,Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,1,0,0,1
77,Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! {link} #SXSW,1,0,0,1
78,build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2,1,0,0,1
79,Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?,1,0,0,1
80,"If iPhone alarms botch the timechange, how many #SXSW'ers freak? Late to flights, missed panels, behind on bloody marys...",0,1,0,1
81,Shouts to all the ladies holding up their iPad 2's at free #sxsw shows to take photos while sipping free beer. /cc: @mention,1,0,0,1
82,I meant I also wish I  at #SXSW #dyac stupid iPhone!,0,1,0,1
83,Rumors of an Apple store opening for #SXSW at 6th &amp; Congress. All signs point to yes! {link},1,0,0,1
84,picked up an ipad 2 at the #sxsw pop up  apple store! only 15 minute wait!,1,0,0,1
85,marketing and sales GENIUS: {link} #Apple #SXSW,1,0,0,1
86,"Do I need any more for #sxsw! ipad, iphone, laptop, dictaphone, vid.camera.... Wow! Love to  meet the REAL 'cerebellum' charged people:)",1,0,0,1
87,The #SXSW app for my iPhone is ridiculous. It's my personal planner for the next 5 days.,1,0,0,1
88,"Found the app kyping my iPhone's geolocation &amp; not releasing when in background. Need a patch, @mention #batterykiller #SXSW",0,1,0,1
89,the #SXSW app on the iPhone is live. RSVP for events from your phone &amp; check out sundayswagger.eventbrite.com 3/20 #scoremore,1,0,0,1
90,The #SXSW Apple &quot;pop-up&quot; store was nuts. Was still packed at 11:30. {link},0,0,1,1
91,Of course Apple built a temp store in Austin. It's Texas. They understand the concept of corralling cattle #SXSW #PickMeUpAniPad2,0,1,0,1
92,Love that Apple didn't let something like not having a retail store near #SXSW keep them away by opening a pop-up store {link},1,0,0,1
93,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new ... {link} #Cnet,1,0,0,1
94,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads. {link} #cnet,1,0,0,1
95,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads.... {link},1,0,0,1
96,ÛÏ@mention Apple is a great example of a retail store layed out for the future - no 'registers' no 'checkout line'  #sxsw,1,0,0,1
97,ÛÏ@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} #gswsxsw,1,0,0,1
98,ÛÏ@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch&quot; oh YAY more traffic.,0,1,0,1
99,"The #sxsw Apple Popup Store is open at noon, has a fresh shipment of iPad 2's, and I'm pretty sure I'm going to get one. [fingers crossed]",1,0,0,1
100,"#technews Apple saves SXSW, set to open pop-up store {link} #Tech_News #Apple #SXSW #tech",1,0,0,1
101,"At #SXSW, Apple schools the marketing experts {link}",1,0,0,1
102,"At #SXSW, Apple schools the marketing experts {link} via @mention",1,0,0,1
103,"At #SXSW, Apple schools the marketing experts {link} via @mention &lt;&lt; True. Love or loathe them, no one does marketing like them.",1,0,0,1
104,"At #SXSW, Apple schools the marketing experts | CNET - {link}",1,0,0,1
105,"At #SXSW, Apple schools the marketing experts | CNET Blogs {link} #Austin #ATX #retail",1,0,0,1
106,ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ @mention there's still time :),1,0,0,1
107,&quot;The Apple store at the mall on Sunday is 10x as crowded as this. This line is fake. I just need a fucking dongle.&quot; Genius let me in. #sxsw,0,1,0,1
108,Makeshift apple store at 6th and congress. You're kidding me. Amazing #sxsw #apple,1,0,0,1
109,Temporary Apple store at SXSW is really cool...as is the iPad 2 :) #apple #SXSW #fanboy,1,0,0,1
110,Temporary Apple Store being set up for #SXSW... shit now the temptation is going to be out of control.,1,0,0,1
111,Temporary apple store opens at 5pm at 6th and congress. Line already growing. #iPad - view.io {link} via @mention #sxsw,1,0,0,1
112,Temporary Apple Store will be a block from my office! Can't wait to see the line tomorrow. Photos to come... #sxsw #iPad2,1,0,0,1
113,iPad news apps 'so last year' at #SXSW {link},0,1,0,1
114,10 iPhone Apps youÛªll Probably Need and Use During #SXSW {link},1,0,0,1
115,"iPad apps are just like software development in that once you release it, you have to start working on the update. #sxsw",1,0,0,1
116,I arrived at #sxsw and my @mention issue hasn't been resolved. Dying to use the iPhone app but cant login. RT@mention @mention we're on it,0,0,1,1
117,Overheard at #sxsw &quot;the iPad is a relaxing computer&quot;: agreed. #iPad #apple,1,0,0,1
118,Overheard at #sxsw interactive: &quot;Arg! I hate the iphone! I want my blackberry back&quot; #shocked,0,1,0,1
119,ÛÏ@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;Û,0,1,0,1
120,"Last year at #SXSWi everbody was talking about the iPad, this year it's social media driven revolutions. This year is better. #sxsw",1,0,0,1
121,"Long line at Apple Pop up store for iPad 2. Great marketing, Apple. #SXSW",1,0,0,1
122,knackered at home playing with ipad and updating iphone. but timeline smashed with partytweets can't make me go to bed.. #sxsw,1,0,0,1
123,overheard at MDW (and I'll second it) &quot;halfway through my iPhone battery already and I haven't even boarded the plane to #sxsw&quot; #amateurhour,0,1,0,1
124,"#technews At SXSW, Apple schools the marketing experts {link} #Tech_News #Apple #Jobs_Co #SXSW #tech",1,0,0,1
125,Huge line at the #apple store in #austin - #sxsw crowd tripping over each other to get the new ipad,1,0,0,1
126,I laughed at the iPad until I spent this week hauling my macbook everywhere. Now I really want an iPad and a shoulder rub. #sxsw,1,0,0,1
127,Any #SXSW attendees need a QR code reader for their iPhone? Tweet us an image of you with your badge and the first 5 get Optiscan free!,1,0,0,1
128,Hey #SXSW attendees...you should hop in line at the #Apple store now. Only four days til your new iPad2 comes in...,1,0,0,1
129,".@mention Bad Apple: shows up late, Qs the process, poo-poos ideas, leaves early. Can even be &quot;I'm too creative&quot; or busy #gamestorming #sxsw",0,1,0,1
130,Trying to balance the power of power needs on iPhone vs iPad at #sxsw. This 3G iPad sucks it out quick. Might have go airplane mode.,0,1,0,1
131,My iPhone battery at 100%. #winning at #SXSW,1,0,0,1
132,My iPhone battery can't keep up with my tweets! Thanks Apple.  #SXSW  #precommerce,0,1,0,1
133,this will be fun to watch. #ipadmadness RT @mention Apple Opening Pop-Up Store In Austin For SXSW {link} #sxsw,1,0,0,1
134,This will be out of control: #Apple set to open popup shop in core of #SXSW action {link} via @mention  cc @mention,1,0,0,1
135,Celebrate Beauty of the Web @mention the MSFT #IE9 launch &amp; play our new #html5 game to win an iPad2 {link} #sxsw,1,0,0,1
136,ÛÏ@mention Best thing I've heard this weekend at #SXSW &quot;I gave my iPad 2 money to #Japan relief. I don't need an iPad 2.&quot;  @mention,0,1,0,1
137,IPad 2 is better..they have had time to improve #sxsw,1,0,0,1
138,{link} Go beyond Earth Hour this year by sharing positive actions with the world. Download the #EarthHour 60+ iPhone app. #SXSW,1,0,0,1
139,impulsive buy = all your friends at #SXSW -&gt; I now have one too. Selling my 1st gen 32gb 3g iPad now,1,0,0,1
140,ÛÏ@mention Buying 2 new iPad's with @mention #geekdate #apple #sxsw #ipad2Û :),1,0,0,1
141,Someone's buying herself a present ;-) RT @mention Apple Is Opening A Pop-Up Store In Austin For #SXSW {link},1,0,0,1
142,Nice find by RSQ's @mention {link} #sxsw #iPad #app,1,0,0,1
143,"Exciting, canÛªt wait! RT @mention Apple is opening up a temporary store in downtown Austin for #SXSW &amp; the iPad 2 launch {link}",1,0,0,1
144,"Great for certain meetings. RT @mention Hello, Holler Gram, our new iPad app {link} #hollergram #sxsw",1,0,0,1
145,"iPad 2 is coming out at #SXSW, guess Apple's pretty desperate to give it attention.",0,1,0,1
146,"If you're coming to #SXSW be sure to download the SXSW Go app, it has all the schedules and locations of the events. {link}",1,0,0,1
147,Seriously considering leaving my MacBook Pro at home and flying solo with the iPad for a week. Think I can make it work? #sxsw,1,0,0,1
148,Four more days! #ipad #sxsw #weekend #battlela,1,0,0,1
149,IPhone is dead. Find me on the secret batphone #sxsw.,0,1,0,1
150,Best iPad design: Big chunky elements. Generous space. Clarity trumps density. Tap quality trumps tap quantity. #tapworthy #sxsw,1,0,0,1
151,Attending Designing iPad Interfaces - New Navigation Schemas w/ @mention Great stuff so far.  #sxsw,1,0,0,1
152,Why Barry Diller thinks iPad only content is nuts @mention #SXSW @mention {link} @mention,0,1,0,1
153,In Japan: Docomo introduced mobile apps six years before Apple came out with app store. #jpmobilesummit #sxsw,0,1,0,1
154,Jeez guys dunno about an Apple pop-up over a Gold's Gym. Do u realize how un-Jobs-aesthetic that is? #SXSW #Apple,0,1,0,1
155,"Before It Even Begins, #Apple Wins #SXSW {link} #tc #apple",1,0,0,1
156,"Before It Even Begins, #Apple Wins #SXSW {link} by @mention",1,0,0,1
157,"Before it even begins, #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch #genius",1,0,0,1
158,"Before It Even Begins, Apple Wins #SXSW - TechCrunch - {link} #ipad",1,0,0,1
159,"Before It Even Begins, Apple Wins #SXSW {link}",1,0,0,1
160,"Before it even begins, Apple wins #SXSW {link}",1,0,0,1
161,"Before It Even Begins, Apple Wins #SXSW {link}",1,0,0,1
162,"Before It Even Begins, Apple Wins #SXSW {link} /by @mention for @mention",1,0,0,1
163,"Before It Even Begins, Apple Wins #SXSW {link} /via @mention by @mention for @mention",1,0,0,1
164,"Before It Even Begins, Apple Wins #SXSW {link} on @mention",1,0,0,1
165,"Before It Even Begins, Apple Wins #SXSW {link} via @mention",1,0,0,1
166,"Before It Even Begins, Apple WinsåÊ#SxSW, {link} -&gt; gonna get sum! via @mention",1,0,0,1
167,"Before It Even Begins, Apple Wins SXSW - TechCrunch {link} #sxsw",1,0,0,1
168,"Before It Even Begins, Apple Wins SXSW {link} &lt;&lt; who will win big at #SXSW ?",1,0,0,1
169,"Before It Even Begins, Apple Wins SXSW {link} #Apple #iPad2 #PM #SXSW",1,0,0,1
170,"Before It Even Begins, Apple Wins SXSW {link} #apple #ipad2 #SXSW #TC",1,0,0,1
171,"Before It Even Begins, Apple WinsåÊSXSW {link} #apple #sxsw",1,0,0,1
172,"Before It Even Begins, Apple Wins SXSW {link} #tc #apple #ipad2 #sxsw",1,0,0,1
173,"Before It Even Begins, Apple WinsåÊSXSW {link} via @mention #apple #sxsw",1,0,0,1
174,"Before It Even Begins, Apple Wins SXSW: {link} Via @mention @mention #Apple #SXSW",1,0,0,1
175,"BEST SWAG EVER. Thanks @mention My charging iPhone thanks you, too. #SXSW {link}",1,0,0,1
176,Timing is everything! iPad 2: Brand Winner at SXSW by @mention {link} #pnid #sxsw,1,0,0,1
177,"Hey #sxsw exhibitors, why not capture your booth experience with a Retrollect disc? Most popular disc wins iPad 2! {link}",1,0,0,1
178,#SXSW has fantastic schedule app for iphone! Bummer I am still crackberry!,1,0,0,1
179,"Photo: By far, the best #sxsw accessory is an ipad. Followed closely by a margarita. ;-) {link}",1,0,0,1
180,"The way I figure, an iPad 2 is a good replacement for not making it to #SXSW this year.",1,0,0,1
181,I need to find a better #SXSW stream to follow. The inane iPad 2 tweets are surely not what SouthBy is about,0,1,0,1
182,#Apple To Follow Its Customers To #SXSW - Forbes - {link} - Alcoholics call this Û÷enabling.Ûª The rest of us call it genius.,1,0,0,1
183,Good news for Austin-bound Apple fanboys: {link} #sxsw #ipad2,1,0,0,1
184,Hitlantis for the iPad. Cool song explorer app. Hitlantis.com. #sxsw #musicviz,1,0,0,1
185,Any of my friends at SxSW willing to pick me up an iPad - will pay a premium. DM me #sxsw #atl {link},1,0,0,1
186,Good talk from AKQAs @mention on iPad interface w/ callback to design principles. My wish: go beyond media/marketing examples. #fb #SxSW,1,0,0,1
187,Person in front of me just took a picture with his new iPad #sxsw,1,0,0,1
188,Marketing Genius: Apple opens pop up store outside of #SXSW {link},1,0,0,1
189,"After you get your food, don't forget to snap a photo to win a MacBook air, iPad 2, or Apple TV! #sxsw",1,0,0,1
190,"Austin is getting full, and #SXSW is underway.  I can tell because my iPhone is an intermittent brick. #crowded",0,1,0,1
191,"The #SXSW GO app no available for Blackberry and Windows 7 in addition to iPhone, iPad, and Android: {link}",1,0,0,1
192,"I want to go to the Apple pop-up store, but I'm afraid I'll leave with a new iPad. #SXSW",1,0,0,1
193,"OMG...I'm going down to #SXSW With: MacBook Pro, iPad, iPhone4, iPod, and a Galaxy Tab... #TechGeek",1,0,0,1
194,"Check out GoogleTV to iPad Apps: The Connected TV Experience at SXSW.
{link} #SXSW #ConnectedTV",1,0,0,1
195,"Check out GoogleTV to iPad Apps: The Connected TV Experience at SXSW.
{link} #SXSW #ConnectedTV Fascinating!",1,0,0,1
196,msc_page: Guy gets tattoo at SXSW so he could win a free iPad2 {link} #sxsw #tattoo #ipadÛ_ {link} #allshare,0,0,1,1
197,"iPad 2 in hand, awesome dude gave me cutsies on a 3 hour line. #austin #apple #sxsw #winning",1,0,0,1
198,I've been having meetings while I'm in line at the #SXSW PopUp Apple Store for the iPad2. I love this place!,1,0,0,1
199,#Apple to Hawk iPad 2 at #SXSW Festival Popup Store!  {link}  by @mention,1,0,0,1
200,"Oh Lordy, here we go... RT @mention What time does the #apple store at #sxsw open? Pulling the #ipad2 trigger.",1,0,0,1
201,Hey #SXSW how bout donating all this $ your spending on the new #iPad to Japan. Do you REALLY need that thing?,0,1,0,1
202,How could I forget my cell phone today for #SXSW what a fail glad I have my iPad #lifelinetotheworld,1,0,0,1
203,".@mention I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",0,1,0,1
204,.@mention I have a feeling #SXSW will be the worst place to try &amp; get an iPad 2- everyone there will be trying to get one. #techiesunite,0,1,0,1
205,"Love that I have a MacBook, iPad, and iPhone with me at #sxsw this year. One runs out of juice, and I can jump to the next.",1,0,0,1
206,Holy cow! I just got hooked by Paolo and Alex with a backup charger for my iPhone! facebook.com/powermat #powermatteam #sxsw #thanks,1,0,0,1
207,Holy cow! I just got hooked by Paolo and Alex with a backup charger for my iPhone! facebook.com/powermat #powermattteam #sxsw #thanks,1,0,0,1
208,"I thought I would use my iPad a lot during #SXSW, but I haven't even touched it once.  Hmmzies.",0,1,0,1
209,@mention  I'm beyond frustrated w/ @mention after this Samsung Moment runaround &amp; am leaving for ATT &amp; iPhone so I can enjoy #sxsw.,1,0,0,1
210,"Hot-spot! If only @mention data speed could keep up RT @mention Also, thanks to Apple for releasing iOS 4.3 just in time for #SXSW",1,0,0,1
211,wondering if ppl in #sxsw on friday will queue at the convention centre or the apple store! xD i'm still figuring out wot i'll do!,1,0,0,1
212,"Hot spots in Austin on Gowalla right now: convention cnt, the Ignite party n the Apple store. #sxsw #sxswi",1,0,0,1
213,#sxsw guy in front of me at this panel has an ipad in an etch-a-sketch case...device of wondeR? #iusxsw,0,0,1,1
214,"For those in need of sweet Mac goodness at #SXSW, Apple has set up a temporary store downtown: {link}",1,0,0,1
215,"Zite, the Intelligent iPad Magazine: {link} &lt;  Deliciousness. #sxsw #trending #youneedthis",1,0,0,1
216,Tim Soo's invisible instruments are jaw dropping. iPhone+Wii controller. {link} #lovemusicapi #sxsw,1,0,0,1
217,Rockin an iPad 2 from the downtown Apple #SXSW store. #apple,1,0,0,1
218,AWESOME!! ipad 2 jailbreak!! {link} Grateful Dead #fab5 #sxsw,1,0,0,1
219,New Post: iPad 2 Launches to Huge Lines at Apple Pop-Up Shop in Austin {link} #SXSW #SXSWi,1,0,0,1
220,"ÛÏ@mention iPad 2 Sold Out, 70% Went to New Buyers [REPORT] - {link} #sxsw #socialmedia #tech #ipad2 #mediaÛ",1,0,0,1
221,Remaining iPad 2 stock at #sxsw Apple store.. Come get one :-)  {link},1,0,0,1
222,I won the iPad accessories bag! Thanks @mention #SXSW,1,0,0,1
223,The #sxsw iPad app is pure gold. @mention,1,0,0,1
224,"Check out iPad Design Headaches (2 Tablets, Call in the Morning) at SXSW.
{link} #SXSW #tapworthy",0,0,1,1
225,"First up: iPad Design Headaches (2 Tablets, Call in the Morning). #SXSW #tapworthy",0,0,1,1
226,the first iPad didn't even exist here last year and I already feel like I'm pulling out an antique everytime I use my iPad #sxsw #ipad2,0,1,0,1
227,"Turn your iPad into a 'physical messaging platform' with Holler Gram, a cheeky app we built for #SXSW. {link}",1,0,0,1
228,"shoot, my ipad will not display any search results :( will have to go through questions later #osmpw #sxsw",0,1,0,1
229,Pic of my iPad-winning performance: {link} #sxsw #accordion #toodamnlucky,1,0,0,1
230,I fear no iphone + #att 3gs slowpoke network during #sxsw &amp; #sxswmusic.,1,0,0,1
231,The #SXSW iPhone app is mocking me. Like I have the money to be there - COME ON.,0,1,0,1
232,The #SXSW iPhone app is one of the worst I've had to use in a very long time.,0,1,0,1
233,Very cool iphone app just launched at #sxsw FlyPost: community bulletin board w/ location. Learn more: {link} {link},1,0,0,1
234,Pedicab + iPhone charger would be epic win. #SXSW,1,0,0,1
235,"Check out iPhone Developer Meet Up at SXSW.
{link} #SXSW",1,0,0,1
236,"&quot;the iPhone is a transient device used in short bursts; the iPad is an 'after 8pm, on the couch' device.&quot; @mention #sxsw",1,0,0,1
237,Disliking iPhone twitter auto shortening links for me. #sxsw,0,1,0,1
238,@mention  iPhone. Clearly. Positively. Happily. #SXSW,1,0,0,1
239,"Flipboard is developing an iPhone version, not Android, says @mention #sxsw",1,0,0,1
240,my iPhone is overheating. why are there so many british sounding people in texas? #SXSW,0,1,0,1
241,So {link} is part of my presentation at #SXSW so good thing it's crashing now instead of then. Works best on iPhone/Android,1,0,0,1
242,ÛÏ@mention is walking around #SXSW while staring down at my iPhone 4... Just like everyone else.Û // ummmm...ditto that,0,0,1,1
243,My iPhone is wilting under the stress of being at #sxsw.,0,1,0,1
244,Of course it does! RT @mention #SXSW Gets Its Own Apple Store {link} #geeksrule,1,0,0,1
245,"Gotta get it! RT @mention Hey Taariq, howdy from Texas, fav #sXsw app is: {link} &lt;--android-or get Iphone #UsGuys",1,0,0,1
246,"@mention  Its bigger than an iphone and smaller than a PC, so good for big events like #SXSW and meeting day? {link}",1,0,0,1
247,I'm a bit jealous seeing #SXSW attendees with #ipad2. My iPad seems so obsolete...,1,0,0,1
248,&quot;I'm just learning all of these things from the screen.&quot; A 4-year old's explanation of how she instantly knew how to use an iPad. #sxsw,1,0,0,1
249,This iPad keeps me awake. Thank god I bought it.... #SXSW,1,0,0,1
250,"iPhone, I know this #SXSW week will be tough on your already-dwindling battery, but so help me Jeebus if you keep correcting my curse words.",0,1,0,1
251,"God, it's like being at #sxsw - have iMac, MacBook, iPhone and BlackBerry all staring at me. Enough! Time to read a book - remember those?",0,1,0,1
252,"ha, seems like it --&gt; ÛÏ@mention The only news at SXSWi was Apple's temporary iPad store? #sxsw #wth?Û",0,1,0,1
253,There's a line at #SXSW Apple Store on ipad Day 2! {link},1,0,0,1
254,"Saw giant line, thought it was for movie premiere. It was at apple store for iPad 2. Heard more screams than at premiere! #SXSW",1,0,0,1
